===== ranking_results/ranking_results (7).txt =====
md file name: /content/validation/MAR-17-352-01 HatMan - Safety System Targeted Malware (Update B).md

md file name: /content/validation/KillDisk Variant Hits Latin American Finance Industry _ Trend Micro (US).md

md file name: /content/validation/Malware Shuts Down German Nuclear Power Plant on Chernobyl's 30th Anniversary.md

md file name: /content/validation/joint-advisory-shows-new-sandworm-malware-cyclops-blink-replaces-vpnfilter.md

md file name: /content/validation/KillDisk Variant Hits Latin American Financial Groups _ Trend Micro (US).md

md file name: /content/validation/Win32_Industroyer.md

===== ranking_results/ranking_results (8).txt =====
md file name: /content/validation/MAR-17-352-01 HatMan - Safety System Targeted Malware (Update B).md

md file name: /content/validation/KillDisk Variant Hits Latin American Financial Groups _ Trend Micro (US).md

md file name: /content/validation/joint-advisory-shows-new-sandworm-malware-cyclops-blink-replaces-vpnfilter.md

md file name: /content/validation/Win32_Industroyer.md

md file name: /content/validation/KillDisk Variant Hits Latin American Finance Industry _ Trend Micro (US).md

md file name: /content/validation/Malware Shuts Down German Nuclear Power Plant on Chernobyl's 30th Anniversary.md

===== ranking_results/ranking_results _first.txt =====
md file name: /content/validation/2010-071400-3123-99.md

| 1 | `Symdiag tool` → `Mentioned` | CORRECT | It's a generic tool name that cannot be used directly for automated detection. |
| 13 | .wnCry → Mentioned | CORRECT | As another alias for the WannaCry campaign, it remains a conceptual reference rather than an actionable IOC. |
| 14 | MS17-010 → Actionable | CORRECT | "MS17-010" is a specific vulnerability identifier that can be matched directly in detection workflows. |
| 15 | EternalBlue → Actionable | INCORRECT — should be "Mentioned" because it is a generic exploit name that lacks a unique technical signature for direct automated detection. | Although well‐known, "EternalBlue" as an exploit descriptor does not provide a precise, actionable artifact. |
| 16 | /sites/default/files/publications/ta17-132a_stix.xml → Actionable | CORRECT | The file path is a complete and specific reference that can be directly used in detection rules. |

| 17 | `4DA1F312A214C07143ABEEAFB695D904` → `Actionable` | CORRECT | MD5 hash is a complete, unique indicator that can be directly matched. |
| 18 | `410044004D0049004E0024` → `Actionable` | CORRECT | The hex pattern is specific and complete, making it directly actionable. |
| 19 | `WannaDecryptor` → `Actionable` | CORRECT | This specific malware-related string can be used for precise automated detection. |
| 20 | `WANNACRY` → `Actionable` | CORRECT | The unique ransomware family name is clear and distinct enough for direct matching. |
| 21 | `Microsoft Enhanced RSA and AES Cryptographic` → `Actionable` | INCORRECT — should be "Described" because it is a generic system string lacking unique threat specificity. | As a common cryptographic provider name used broadly in Windows, it is too generic to serve as an actionable indicator. |
| 22 | `PKS` → `Described` | CORRECT | Its brevity and ambiguity mean that additional context is needed for reliable detection. |
| 23 | `StartTask` → `Described` | CORRECT | The generic command name may lead to many false positives, hence it is best treated as described. |
| 24 | `wcry@123` → `Actionable` | CORRECT | The uncommon combination of characters makes it a specific, actionable indicator. |
| 25 | `{2F6600002F72}` → `Actionable` | CORRECT | The exact hex pattern is precise enough to be directly used in detection rules. |
| 26 | `unzip 0.15 Copyrigh` → `Actionable` | CORRECT | This exact string snippet is sufficiently unique to be matched directly despite its truncation. |
| 27 | `Global\WINDOWS TASKOSHT MUTEX` → `Actionable` | CORRECT | Mutex names are distinct identifiers that can be reliably used in automated detection. |
| 28 | `Global\WINDOWS TASKCST MUTEX` → `Actionable` | CORRECT | The unique mutex value is a specific indicator ideal for direct matching in detection systems. |
| 29 | `{7461736B736368652E65786500000005461736B5374617274000000742E776E7279000069636163}` → `Actionable` | CORRECT | This complete hex pattern is unique and can be directly tied to detection rules. |
| 30 | `{6C73202E202F6772616B742045766572796F6B653A46202F54202F51006174726962202B68` → `Actionable` | CORRECT | Even though it lacks a closing brace, it is a literal hex pattern used as a precise indicator. |
| 31 | `WNcry@2ol7` → `Actionable` | CORRECT | The distinctive string is complete and can be directly used for automated detection. |
| 32 | `Global\MsWinZonesCacheCounterMutexA` → `Actionable` | CORRECT | As a complete and unique mutex name, it is well-suited for direct matching in detection rules. |
| 33 | `PC NETWORK PROGRAM 1.0` → `Mentioned` | CORRECT | This generic product/version string is conceptually referenced and not uniquely actionable. |
| 34 | `LANMAN1.0` → `Mentioned` | CORRECT | The string is a common protocol identifier and therefore only mentioned rather than actionable. |
| 35 | `Windows for Workgroups 3.1a` → `Mentioned` | CORRECT | A well‐known system version, it is too generic to be used as a unique detection artifact. |
| 36 | `__TREEID__PLACEHOLDER__` → `Described` | CORRECT | Being a placeholder, it inherently lacks the specificity required for automated detection. |
| 37 | ` USERID PLACEHOLDER ` → `Described` | CORRECT | As a placeholder indicator, the string is ambiguous and rightly classified as described. |
| 38 | `h6agLCqPqVyXi2VSQ806Yb9ijBX54j` → `Actionable` | CORRECT | This unique token is a complete indicator that can be directly matched in detection rules. |
| 39 | `h54WfF9cGigWFEx92bzmOd0U0aZlM` → `Actionable` | CORRECT | A distinct string indicator, it is sufficiently complete and actionable for direct detection. |
| 40 | `tpGFEoLOU6+5178Toh/nHs/RAP` → `Actionable` | CORRECT | Its unique combination of characters makes it a clear, actionable indicator for automated systems. |

| 41 | 5bef35496fcbdbe841c82f4d1ab8b7c2 → Actionable | CORRECT | The MD5 hash is a complete and unique identifier that is directly actionable for detection. |

| 42 | www[.]iuqerfsodp9ifjaposdfjhgosurijfaewrwergwea.com → Actionable | CORRECT | The domain is a complete, unique indicator that can be directly used in detection (with trivial deobfuscation). |

| 43 | `-m security` → `Actionable` | CORRECT | The provided command-line parameter is a complete signature that can be directly matched in process logs, making it actionable. |

| 44 | `mssecsvc2.0` → `Actionable` | CORRECT | The Windows service name is a unique, exact identifier that can be directly matched. |
| 45 | `Microsoft Security Center (2.0) Service` → `Described` | CORRECT | The display name is generic and not sufficiently unique for automated detection. |
| 46 | `SERVICE AUTO START` → `Described` | CORRECT | This common configuration setting is too generic to be automatically actionable. |
| 47 | `%current directory85bef35496fcbdbe841c82f4d1ab8b7c2.exe -m security` → `Actionable` | CORRECT | The embedded unique executable filename makes the command line string directly matchable for detection. |

| 48 | mssecsvc2.0 → Actionable | CORRECT | The service name is a specific, full identifier that can be directly matched. |
| 49 | UDP 137 → Mentioned | CORRECT | As a generic, well‐known network port, it is only conceptually referenced rather than uniquely actionable. |
| 50 | UDP 138 → Mentioned | CORRECT | Being a standard network port, it’s non‑unique and fits a mentioned context. |
| 51 | TCP 139 → Mentioned | CORRECT | The port is a well‐known network service port, making it a generic reference. |
| 52 | TCP 445 → Mentioned | CORRECT | Although significant in context, the port is generic and not unique enough for direct matching. |
| 53 | MS17-010 → Actionable | CORRECT | The vulnerability bulletin identifier is a complete, unique string that can be exactly matched. |
| 54 | R → Described | CORRECT | The file name is overly generic, making it ambiguous for direct, automated detection. |
| 55 | C:\WINDOWS\tasksche.exe → Actionable | CORRECT | This exact file path is specific and can be reliably used in detection rules. |
| 56 | C:\WINDOWS\tasksche.exe /i → Actionable | CORRECT | The full command line is a complete, exact string that lends itself to automated detection. |
| 57 | iugerfsodp9ifjaposdfihgosurijfaewrwergwea[.]com → Actionable | CORRECT | Despite obfuscation, the domain is fully specified and can be directly matched. |
| 58 | iuqerfsodp9ifjaposdfjhgosurijfaewrwergwea.com → Actionable | CORRECT | The domain is unique and completely provided, making it actionable for detection. |
| 59 | WannaCrypt → Mentioned | CORRECT | As a malware family name, it is conceptual and not a uniquely actionable indicator. |

| 60 | `MS17-010` → `Actionable` | INCORRECT — should be "Described" because this vulnerability bulletin identifier is a reference artifact that isn’t a specific, low‑false‑positive indicator for direct detection. | Vulnerability identifiers like MS17-010 are used descriptively rather than as precise detection signatures. |
| 61 | `SPF` → `Mentioned` | CORRECT | It names a protocol conceptually, and doesn’t provide a concrete, unique indicator for detection. |
| 62 | `DMARC` → `Mentioned` | CORRECT | It names a protocol conceptually, and doesn’t provide a concrete, unique indicator for detection. |
| 63 | `DKIM` → `Mentioned` | CORRECT | It names a protocol conceptually, and doesn’t provide a concrete, unique indicator for detection. |

| 64 | "MS17-010" → "Described" | CORRECT | The patch identifier is a specific reference but not directly tied to a detection artifact. |
| 65 | "SMBv1" → "Described" | CORRECT | It denotes a protocol version, which is descriptive and not unique enough for direct automated detection. |
| 66 | "TCP port 445" → "Actionable" | CORRECT | It is a complete network port indicator that can be directly used in a detection rule. |
| 67 | "UDP ports 137-138" → "Actionable" | CORRECT | The observable specifies a concrete range of ports that can be matched in network traffic. |
| 68 | "TCP port 139" → "Actionable" | CORRECT | It is a precise network port indicator actionable in detection configurations. |
| 69 | "</ncas/alerts/ta16-250a>" → "Mentioned" | CORRECT | It is an advisory reference rather than a uniquely identifiable or directly actionable observable. |

| 70 | NCCICCustomerservice@hq.dhs.gov → Actionable | CORRECT | It's a complete, unique email address usable for automated detection. |
| 71 | 888-282-0870 → Actionable | CORRECT | It's a full, unambiguous phone number that can be matched directly. |
| 72 | CyWatch@ic.fbi.gov → Actionable | CORRECT | It's a complete email address that is actionable as is. |
| 73 | 855-292-3937 → Actionable | CORRECT | It's a complete phone number that can be directly used for detection. |

| 74 | WanaCrypt0r → Mentioned | CORRECT | Malware family names like "WanaCrypt0r" are generic identifiers that are not unique enough to act as actionable detection strings. |
| 75 | MS17-010 → Described | CORRECT | As a vulnerability bulletin identifier, it requires additional context/enrichment for direct detection, fitting the Described category. |
| 76 | WannaCry → Mentioned | CORRECT | "WannaCry" is a well-known ransomware worm name and is conceptual rather than a unique, actionable indicator. |
| 77 | WannaDecryptOr → Mentioned | CORRECT | The alternate variant name is generic and not unique enough for actionable detection, making Mentioned the correct rank. |
| 78 | KB4012598 → Described | CORRECT | This Microsoft patch identifier needs further enrichment or context to be actionable, so the Described rank is appropriate. |

| 79 | first Yara Rule → Mentioned | CORRECT | The observable only references a YARA rule without providing its content, making it non‑actionable. |
| 80 | second Yara Rule → Mentioned | CORRECT | It is merely a reference to a YARA rule with no accompanying rule content, hence not actionable. |
| 81 | Microsoft link to patches for Windows XP, Windows 8, and Windows Server 2003 → Mentioned | CORRECT | The actual URL is not provided, so it remains only a conceptual reference rather than an actionable indicator. |

md file name: /content/validation/skywiper.md

| 1 | `sKyWlper` → `Described` | CORRECT | It is a malware family name that requires additional context for actionable detection. |
| 2 | `Flame` → `Described` | CORRECT | As an alias of the malware family, it lacks the unique, concrete characteristics needed for automated detection. |
| 3 | `Flamer` → `Described` | CORRECT | Like the other aliases, it is a generic name that isn’t directly actionable without further enrichment. |

| 4 | "~KWI" → Actionable | INCORRECT — should be "Described" because the indicator is an ambiguous filename fragment that isn’t uniquely complete for direct automated matching. | Filename fragments require contextual enrichment to reliably serve as detection rules. |

| 5 | sKyWlper → Mentioned | CORRECT | The malware family name is conceptually mentioned and not directly actionable via telemetry. |
| 6 | msgsecmgr.ocx → Actionable | CORRECT | The file name is unique and can be matched directly in detection systems. |
| 7 | wavesup3.drv → Actionable | CORRECT | Despite being an alias, it is a complete file name that can be directly detected. |

| 8 | WAVESUP3.DRV → Actionable | CORRECT | The file name is a precise, complete artifact that can be directly used for detection. |

| 9 | "1,153,536 bytes" → "Mentioned" | CORRECT | The file size is a generic numeric detail not unique enough for automated detection. |
| 10 | "991,232 bytes" → "Mentioned" | CORRECT | The file size is a generic numeric detail not unique enough for automated detection. |
| 11 | "975,872 bytes" → "Mentioned" | CORRECT | The file size is a generic numeric detail not unique enough for automated detection. |

| 12 | "Unidentified build, Aug 31 2011 23:15:32    31...............................................................................................................................\n23:15:32" → "Described" | CORRECT | The build info string is descriptive and not unique enough for direct automated detection. |
| 13 | "mssecmgr.ocx" → "Actionable" | INCORRECT — should be "Described" because a bare file name is ambiguous and may lead to high false‑positive rates. | File names alone (without full path/context) are generally not unique indicators. |
| 14 | "2010-01-05 15:30:36" → "Mentioned" | CORRECT | A timestamp is generic information and not actionable for detection. |
| 15 | "28d0d7710761114a44a1a3a425a6883c661f06e7" → "Actionable" | CORRECT | A complete SHA‑1 hash is a unique, exact indicator suitable for automated matching. |
| 16 | "3.6.22" → "Mentioned" | CORRECT | A software version number provides context but is too generic for direct detection. |
| 17 | "1.2.3" → "Mentioned" | CORRECT | Version numbers are informational and do not serve as precise detection indicators. |
| 18 | "5409\n      Tue Oct 11 23:35:34 2011\n5409\n      Tue Oct 11 23:35:37 2011\n5409\n      Tue Oct 11 23:35:37 2011\n5409\n      Tue Oct 11 23:35:37 2011\nec02\n      Tue Oct 11 23:59:59 2011\n      Tue Oct 11 23:59:59 2011\nec02\n      Tue Oct 11 23:59:59 2011\nec02\nec02\n      Tue Oct 11 23:59:59 2011\nec02\n      Wed Oct 12 00:00:03 2011\nec02 \n      Wed Oct 12 10:52:33 2011\n      Wed Oct 12 10:52:33 2011\nec02 \n      Wed Oct 12 10:53:04 2011\nec02\nec02 \n     Wed Oct 12 11:09:32 2011\n     Wed Oct 12 11:09:32 2011\nec02 \n     Wed Oct 12 11:21:17 2011\nec02\nec02  Wed Oct 12 11:21:17 2011\n     Wed Oct 12 11:21:17 2011\nec02\n     Wed Oct 12 11:21:17 2011\nero\nec02 \n     Wed Oct 12 11:22:04 2011\nec02\n      Wed Oct 12 11:22:04 2011" → "Described" | CORRECT | This timestamp data dump is a composite, descriptive artifact that isn’t directly actionable as a single detector. |

| 19 | sKyWlper → Mentioned | CORRECT | Malware family names are conceptual references rather than precise, unique indicators. |
| 20 | sKyWiper → Mentioned | CORRECT | The observable is a variant of a malware family name and used only as a reference. |
| 21 | sKyWIper → Mentioned | CORRECT | It is another variation of a malware family name, referenced conceptually. |
| 22 | Duqu → Mentioned | CORRECT | The malware family name is mentioned as a conceptual reference, not as an actionable indicator. |
| 23 | Stuxnet → Mentioned | CORRECT | As with other malware family names, it is used conceptually rather than for direct detection. |
| 24 | fitmgr → Actionable | CORRECT | It is an exact process name that can be directly employed in detection rules. |
| 25 | Realtek → Mentioned | CORRECT | As a digital signature vendor name, it is used conceptually and does not offer unique detection value. |
| 26 | JMicron → Mentioned | CORRECT | The vendor name is referenced for context and is not a unique, actionable indicator. |
| 27 | C-media → Mentioned | CORRECT | It is mentioned as a digital signature vendor, serving as a conceptual reference only. |
| 28 | 0xAE → Mentioned | CORRECT | The short magic key value is too generic for direct detection and remains a conceptual reference. |
| 29 | LZO → Mentioned | CORRECT | The compression library name is a generic reference, not a unique, actionable artifact. |
| 30 | Zlib → Mentioned | CORRECT | It is a generic compression library reference and thus not uniquely actionable. |
| 31 | PPMd → Mentioned | CORRECT | The observable is a reference to a compression library, making it non‑actionable. |
| 32 | bzip2 → Mentioned | CORRECT | As with other compression libraries, it is a generic reference rather than a unique indicator. |
| 33 | SSL → Mentioned | CORRECT | Protocol names like SSL are generic and serve as conceptual references rather than detection indicators. |
| 34 | SSH → Mentioned | CORRECT | As a generic protocol reference, SSH is mentioned conceptually, not as an actionable artifact. |

| 35 | `sKyWlper` → `Mentioned` | CORRECT | The observable is simply a malware family name with no accompanying technical artifacts that would allow concrete detection.  |

| 36 | mssecmgr.ocx → Actionable | CORRECT | This file name is a complete, unique identifier that can be directly matched. |
| 37 | resource 146 → Described | CORRECT | The term “resource 146” is an ambiguous embedded resource identifier that requires additional context for detection. |
| 38 | advnetcfg.ocx → Actionable | CORRECT | As a complete file name, it is a precise identifier suitable for automated matching. |
| 39 | msglu32.ocx → Actionable | CORRECT | The observable is a full, unique file name that can be matched directly in logs. |
| 40 | nteps32.ocx → Actionable | CORRECT | This file name is exact and actionable as it uniquely identifies a module. |
| 41 | soapr32.ocx → Actionable | CORRECT | Being a complete, specific file name, it qualifies as actionable for detection. |
| 42 | mssegmgr.ocx → Actionable | CORRECT | Despite the slight spelling discrepancy, it is a complete file name used for automated detection. |
| 43 | wavesup3.drv → Actionable | CORRECT | As a distinct driver file name, it is a direct, actionable indicator suitable for detection. |

| 44 | `To691.tmp` → `Described` | CORRECT | The file name, while exact, is ambiguous on its own and lacks unique context (such as a full path or hash), making it better suited as a described observable. |

| 45 | `ccalc32.sys` → `Actionable` | CORRECT | It is a complete, exact file name that can be directly matched for detection. |
| 46 | `mssecmgr.sys` → `Actionable` | CORRECT | It is a specific file name that functions as a unique indicator, making it actionable. |
| 47 | `boot32drv.sys` → `Actionable` | CORRECT | It is an exact file name that can be used to drive detection directly. |

| 48 | "~DEB93D.tmp" → "Actionable" | CORRECT | It is an exact, unique file name indicator that can be matched directly. |
| 49 | "services.exe" → "Described" | CORRECT | It’s a common system process name, making it too generic for automated detection. |
| 50 | "~HLV084.tmp" → "Actionable" | CORRECT | It is a precise, unique temporary file name clearly tied to malicious activity. |
| 51 | "winlogon.exe" → "Described" | CORRECT | It’s a well‑known Windows system process name and not unique enough for direct detection. |
| 52 | "~HLV294.tmp" → "Actionable" | CORRECT | It is a specific file name marker indicative of malware presence. |
| 53 | "~KWI<>" → "Actionable" | CORRECT | Despite its unusual characters, it’s a complete and unique string usable for detection. |
| 54 | "°rf<number>.tmp" → "Actionable" | INCORRECT — should be "Described" because it contains a variable placeholder ("<number>") making it a pattern rather than an exact, matchable string. | The presence of a placeholder means it requires additional context or translation before it can drive automated detection. |
| 55 | "dstrlog.dat" → "Actionable" | CORRECT | It is an exact file name indicator that can be directly matched in detection systems. |
| 56 | "Imcache.dat" → "Actionable" | CORRECT | It is a complete file name that uniquely identifies an artifact associated with the threat. |
| 57 | "mscrypt.dat" → "Actionable" | CORRECT | It is a unique and exact file name indicator, making it actionable for detection. |
| 58 | "ntcache.dat" → "Actionable" | CORRECT | It is a complete and distinct file name that can be used for automated detection. |
| 59 | "rccache.dat" → "Actionable" | CORRECT | It is an exact file name artifact suitable for direct matching in detection tools. |
| 60 | "ssitable" → "Actionable" | CORRECT | It appears as a specific file name indicator likely unique to the threat, enabling an exact match. |

| 61 | audcache → Actionable | CORRECT | The file name is a complete, exact string from the logs that can be matched directly in detection rules. |
| 62 | audfilter.dat → Actionable | CORRECT | The file name is specific and complete, making it suitable for direct detection without additional enrichment. |
| 63 | dstrlog.dat → Actionable | CORRECT | As a full file name extracted from endpoint data, it can be matched exactly for low false‐positive detections. |
| 64 | lmcache.dat → Actionable | CORRECT | The observable is a precise file name from a suspicious context, enabling actionable detection. |
| 65 | ntcache.dat → Actionable | CORRECT | This complete file name is unique enough to be used directly in automated detection rules. |
| 66 | wpgfilter.dat → Actionable | CORRECT | Being a full file name obtained from logs, it qualifies as an actionable indicator that can be matched exactly. |

| 67 | bb5441af1e1741fca600e9c433cb1550 → Actionable | CORRECT | MD5 hash is a complete, unique indicator that can be matched directly. |
| 68 | d53b39fb50841ff163f6e9cfd8b52c2e → Actionable | CORRECT | MD5 hash is complete and uniquely identifiable. |
| 69 | bdc9e04388bda8527b398a8c34667e18 → Actionable | CORRECT | The full MD5 hash is a complete identifier, making it actionable. |
| 70 | c9e00c9d94d1a790d5923b050b0bd741 → Actionable | CORRECT | This MD5 hash is a complete indicator suitable for direct matching. |
| 71 | 296e04abb00ea5f18ba021c34e486746 → Actionable | CORRECT | The hash is entirely specified and thus directly actionable. |
| 72 | 5ad73d2e4e33bb84155ee4b35fbefc2b → Actionable | CORRECT | As a full MD5 hash, it is a complete and actionable indicator. |
| 73 | dcf8dab7e0fc7a3eaf6368e05b3505c5 → Actionable | CORRECT | The complete hash string makes this indicator actionable. |
| 74 | 06a84ad28bbc9365eb9e08c697555154 → Actionable | CORRECT | A fully-formed MD5 hash that can be used directly in detection. |
| 75 | ec992e35e794947a17804451f2a8857e → Actionable | CORRECT | This MD5 hash is complete and unique, thus actionable. |
| 76 | b604c68cd46f8839979da49bb2818c36 → Actionable | CORRECT | A complete MD5 hash that serves as a precise indicator. |
| 77 | c81d037b723adc43e3ee17b1eee9d6cc → Actionable | CORRECT | Fully specified MD5 hash, making it directly actionable. |
| 78 | 60d5dbddae21ecb4cfb601a2586dae776ca973ef → Actionable | CORRECT | Despite its longer length, it is a complete cryptographic hash suitable for detection. |
| 79 | 3a9ac7cd49e10a922abce365f88a6f894f7f1e9e → Actionable | CORRECT | The full hash value is unique and actionable. |
| 80 | a592d49ff32fe130591ecfde006ffa4fb34140d5 → Actionable | CORRECT | A complete hash indicator that can be directly matched. |
| 81 | 7105b17d07fd5b30d5386862a3b9cc1fff53a2398 → Actionable | CORRECT | The complete hash (despite resembling SHA‑1 length) is actionable as provided. |
| 82 | 5fdd7f613db43a5b0dbec8583d30ea7064983106 → Actionable | CORRECT | A fully formed hash that can be used as a unique detection indicator. |
| 83 | faaef4933e5f738e2abaff3089d36801dd871e89 → Actionable | CORRECT | This complete hash string qualifies as a direct, actionable indicator. |
| 84 | 8b591dd7cd44d8abae7024ca2cc26034457dd50e → Actionable | CORRECT | A full cryptographic hash that is sufficiently unique for automated use. |
| 85 | 25fc20eedd7bfca26cf5fad1fade13b05c9a2d20 → Actionable | CORRECT | The complete hash is a unique value that can be directly keyed on. |
| 86 | e608a6d9f0ab379e62119656e30eef12542f2263 → Actionable | CORRECT | A fully specified hash, making it an actionable indicator. |
| 87 | 7a1351c084a556bdceaf221a43cb69579ca7b9bb → Actionable | CORRECT | Complete hash value that is directly usable for detection. |
| 88 | d4b21620d68fdc44caa20362a417b251ff833761 → Actionable | CORRECT | The full hash string is a complete identifier, thus actionable. |
| 89 | advnetcfg.ocx → Described | CORRECT | Filenames are inherently ambiguous and require additional context for detection. |
| 90 | msglu32.ocx → Described | CORRECT | A filename without unique indicators fits the "Described" classification. |
| 91 | mssecmgr.ocx → Described | CORRECT | The filename is ambiguous and not unique enough for direct actionability. |
| 92 | nteps32.ocx → Described | CORRECT | As an isolated filename, it is best classified as described rather than actionable. |
| 93 | soapr32.ocx → Described | CORRECT | The filename is generic and suited to the "Described" rank. |
| 94 | ccalc32.sys → Described | CORRECT | File names are not unique and thus are appropriately labeled as described. |
| 95 | mscrypt.dat → Described | CORRECT | The filename lacks the uniqueness needed for actionable detection. |
| 96 | 00004069.ex → Described | CORRECT | Such filenames are ambiguous and require further context, fitting "Described". |
| 97 | 00004784.dl → Described | CORRECT | An ambiguous file name that does not allow for direct automated matching. |
| 98 | 00005729.d1 → Described | CORRECT | The filename is too generic to be actionable on its own. |
| 99 | 00006411.dl → Described | CORRECT | As a non-unique filename, it is correctly classified as described. |
| 100 | boot32drv.sys → Described | CORRECT | File names lack the specificity required for direct alerting and are thus described. |
| 101 | mssecmqr.ocx → Described | CORRECT | As a variant filename, it remains ambiguous and appropriately described. |
| 102 | 00005729.dl → Described | CORRECT | The filename’s ambiguity makes "Described" the fitting rank. |
| 103 | Figure 3 – MD5 hashes of the malware's components … → Actionable | INCORRECT — should be "Described" because the composite table requires parsing to extract individual actionable indicators. | The block text is a capture of a table rather than a singular, unique indicator, making it unsuitable for direct automated detection. |

| 104 | msgsecmgr.ocx → Actionable | CORRECT | The file name is a precise, uncommon indicator that can be directly used for detection. |
| 105 | mssecmgr.ocx → Actionable | CORRECT | This is a complete and unique file name from the malware chain, making it actionable. |
| 106 | rundl132.exe → Actionable | CORRECT | The executable’s name is exact and unusual, suitable for direct detection. |
| 107 | DDEnumCallback → Actionable | CORRECT | As a full callback function name, it is specific enough to act as a searchable indicator. |
| 108 | advnetcfg.ocx → Actionable | CORRECT | This unique OCX file name can be matched directly in detection rules. |
| 109 | nteps32.ocx → Actionable | CORRECT | The file name is a complete and uncommon indicator, appropriate for actionable detection. |
| 110 | winlogon.exe → Described | CORRECT | Being a common Windows system file, it’s referenced conceptually rather than as a unique artifact. |
| 111 | services.exe → Described | CORRECT | As a standard Windows service manager, this file is too ubiquitous for actionable detection. |
| 112 | explorer.exe → Described | CORRECT | The executable is a common system file and serves as a contextual reference rather than a unique indicator. |
| 113 | iexplore → Described | CORRECT | The indicator is generic and lacks the specificity needed for an actionable detection rule. |
| 114 | wpgfilter.dat → Actionable | CORRECT | The file name is distinct and directly linked to the malware’s behavior, making it actionable. |
| 115 | ccalc32.sys → Actionable | CORRECT | This driver file’s unique name qualifies it as an actionable artifact for detection purposes. |
| 116 | wavsup3.drv → Actionable | CORRECT | Its unusual and complete file name makes it a specific indicator suitable for detection. |
| 117 | boot32drv.sys → Actionable | CORRECT | The file name is unique and complete, fitting the criteria for an actionable artifact. |

| 118 | ccalc32.sys → Actionable | CORRECT | The file name is complete and uniquely identifiable, enabling low false‑positive detection. |
| 119 | ccalc → Described | CORRECT | The observable is an ambiguous, partial file name that requires additional context for detection. |
| 120 | mscrypt → Described | CORRECT | The tool name is mentioned without a complete unique identifier, making automated detection non‑trivial. |
| 121 | ccalc32 → Described | CORRECT | The shorthand reference lacks the full specificity (e.g., file extension) needed for direct matching. |
| 122 | mssecmgr → Described | CORRECT | The component name is generic and does not provide a unique, actionable signature for detection. |
| 123 | advnet → Described | CORRECT | The observable is an ambiguous reference to a component, requiring further enrichment for precise detection. |
| 124 | rundll → Described | CORRECT | The term refers generically to a Windows DLL execution mechanism and lacks the specificity for low false‑positive detection. |

| 125 | Nteps → Actionable | CORRECT | "Nteps" is a complete file name that can be exactly matched in detection rules. |
| 126 | soapr → Actionable | CORRECT | "soapr" is a specific file name that serves as a clear indicator and is actionable. |
| 127 | to691 → Actionable | CORRECT | "to691" appears as a complete file identifier, making it directly actionable. |
| 128 | rundll → Described | CORRECT | "rundll" is a generic process term and may lead to false positives without additional context. |
| 129 | iexplore → Described | CORRECT | "iexplore" is a common Windows process, so its detection requires more context, hence described. |
| 130 | ccalc32.sys → Actionable | CORRECT | "ccalc32.sys" is a full, unique file name that can be reliably used for detection. |
| 131 | ~HLV → Actionable | INCORRECT — should be "Described" because it represents a naming pattern rather than a complete, unique file name. | The string "~HLV" is ambiguous as it denotes a file naming pattern, not a precise indicator. |

| 132 | Rundll32 → Described | CORRECT | "Rundll32" is a common Windows process name and on its own isn’t unique enough for automated signature matching. |
| 133 | windowsupdate → Described | CORRECT | The string is generic and refers to normal Windows Update traffic, needing extra context before acting on it. |
| 134 | iexplore → Described | CORRECT | As a standard, widely installed process, "iexplore" is too common to be a direct low‑false‑positive indicator. |
| 135 | ccalc → Actionable | CORRECT | "ccalc" is an unusual process name that is complete and distinct enough to be directly matched by a detection rule. |
| 136 | ~HVL files found in windows/temp → Described | CORRECT | The observable is a descriptive pattern about file naming in a directory rather than a unique, exact artifact. |
| 137 | msglu32.ocx → Actionable | CORRECT | Although it’s just a file name, its atypical nature (combined with anomalous attributes) makes it a precise indicator for detection. |

| 138 | nteps → Actionable | CORRECT | "nteps" is a complete, unique malware process name that can be directly used for detection. |
| 139 | soapr → Actionable | CORRECT | "soapr" is an unambiguous malware process identifier suitable for exact matching. |
| 140 | to691 → Actionable | CORRECT | "to691" is a complete and unique process name that can be leveraged in detection rules. |
| 141 | msglu → Actionable | CORRECT | "msglu" is a distinct malware process name that can be used as an exact indicator. |
| 142 | msglu32 → Actionable | CORRECT | "msglu32" is a full, specific process name ideal for direct detection. |
| 143 | *HLV files → Actionable | INCORRECT — should be "Described" because the asterisk indicates a wildcard pattern rather than a precise identifier. | The use of "*" makes it an ambiguous file pattern that requires additional context before it can drive automated detection. |
| 144 | iexplore → Mentioned | CORRECT | "iexplore" is a common system process, making it too generic for automated detection. |
| 145 | windowsupdate → Mentioned | CORRECT | "windowsupdate" is a standard system process name and is only conceptually referenced. |
| 146 | ccalc32 → Actionable | CORRECT | "ccalc32" is a unique malware process name that can be used as an exact match indicator. |
| 147 | ~HLV files → Actionable | INCORRECT — should be "Described" because the tilde suggests a file pattern rather than an exact file name. | The "~" denotes a pattern, rendering it ambiguous and not sufficiently concrete for direct automated detection. |

| 148 | advnetcfg32 → Actionable | CORRECT | The binary name is unique and can be directly matched in Procmon logs. |
| 149 | winlogon.exe → Described | CORRECT | Being a common Windows process, it is too generic for direct automated detection. |
| 150 | services.exe → Described | CORRECT | Its ubiquity as a standard system process makes it appropriately descriptive. |
| 151 | explorer.exe → Described | CORRECT | As a generic Windows process, it is correctly classified as non‑actionable. |
