observable_value,artifact_details,data_source,classification,STIX_supported,proprietary_artifact,parser,notes,description,technique_num,description_id,deprecated,related_id,file name,url,Added by,,,,,,,,,
target device,Mentioned,"system logs, ICS data",ICS Device,No,Open/Standard Technology,,A generic reference to the device that is being polled.,"[Industroyer2](https://attack.mitre.org/software/S1072) has the capability to poll a target device about its connection status, data transfer status, Common Address (CA), Information Object Addresses (IOAs), and IO state values across multiple priority levels.(Citation: Industroyer2 Forescout July 2022)(Citation: Industroyer2 ESET April 2022)",T0888,relationship--67e11f38-9f68-4989-8de3-da65af52063e,FALSE,,Industroyer2,https://attack.mitre.org/software/S1072,,,,,,,,,,
multiple priority levels,Mentioned,protocol analysis,Communication Priority Level,No,Proprietary-Documented Technology,,Priority categories leveraged by Industroyer2 when polling target device data.,"[Industroyer2](https://attack.mitre.org/software/S1072) has the capability to poll a target device about its connection status, data transfer status, Common Address (CA), Information Object Addresses (IOAs), and IO state values across multiple priority levels.(Citation: Industroyer2 Forescout July 2022)(Citation: Industroyer2 ESET April 2022)",T0884,relationship--5fdc108f-75f4-42b8-8d96-989ae77b87dd,FALSE,,Industroyer2,https://attack.mitre.org/software/S1072,Dorin,,,,,,,,,
ICS application,Mentioned,ICS data,ICS Application,No,Proprietary-Undocumented Technology,,One of the two non-standard processes targeted; only noted as an ICS application with no additional specifics.,"[KillDisk](https://attack.mitre.org/software/S0607) looks for and terminates two non-standard processes, one of which is an ICS application. (Citation: Anton Cherepanov)",T0881,relationship--b452a076-6d4e-49f5-95ac-16264ef05b1d,FALSE,,KillDisk,https://attack.mitre.org/software/S0607,,,,,,,,,,
KillDisk,Described,Process execution logs,Software/Tool,Full: Malware,Proprietary-Undocumented Technology,,Referenced with a MITRE ATT&CK link (S0607) providing specific identification.,"[KillDisk](https://attack.mitre.org/software/S0607) erases the master boot record (MBR) and system logs, leaving the system unusable. (Citation: Booz Allen Hamilton)",T0829,relationship--04bf72de-75ba-4d95-ad24-f93ad835180c,FALSE,,KillDisk,https://attack.mitre.org/software/S0607,,,,,,,,,,
KillDisk,Described,file system and process monitoring logs,Software/Tool,Full: Tool,Proprietary-Documented Technology,,Referenced via a MITRE ATT&CK link; no unique identifiers like file hashes provided.,"[KillDisk](https://attack.mitre.org/software/S0607) deletes application, security, setup, and system event logs from Windows systems. (Citation: Anton Cherepanov)",T0872,relationship--ab8e129c-5411-4784-9194-068fa915da23,FALSE,,KillDisk,https://attack.mitre.org/software/S0607,,,,,,,,,,
KillDisk,Described,System logs,Software/Tool,Full: Software,Open/Standard Technology,,Referenced with a MITRE ATT&CK link (S0607) indicating a specific malware tool that deletes system files.,[KillDisk](https://attack.mitre.org/software/S0607) is able to delete system files to make the system unbootable and targets 35 different types of files for deletion. (Citation: Anton Cherepanov),T0809,relationship--b252a076-6d4e-49f5-95ac-16264ef05b1d,FALSE,,KillDisk,https://attack.mitre.org/software/S0607,,,,,,,,,,
KillDisk,Described,system logs,Software/Tool,Full: Malware,Proprietary-Undocumented Technology,,Named software referenced with a MITRE ATT&CK link (S0607) that searches for and terminates processes.,"[KillDisk](https://attack.mitre.org/software/S0607) looks for and terminates two non-standard processes, one of which is an ICS application. (Citation: Anton Cherepanov)",T0881,relationship--b452a076-6d4e-49f5-95ac-16264ef05b1d,FALSE,,KillDisk,https://attack.mitre.org/software/S0607,,,,,,,,,,
master boot record (MBR),Mentioned,Disk data,Boot Record,No,Open/Standard Technology,,A generic system component without unique identifying details.,"[KillDisk](https://attack.mitre.org/software/S0607) erases the master boot record (MBR) and system logs, leaving the system unusable. (Citation: Booz Allen Hamilton)",T0829,relationship--04bf72de-75ba-4d95-ad24-f93ad835180c,FALSE,,KillDisk,https://attack.mitre.org/software/S0607,,,,,,,,,,
non-standard process,Mentioned,system logs,Process,Full: Process,Open/Standard Technology,,A generic process that does not conform to expected norms; no further identifying details provided.,"[KillDisk](https://attack.mitre.org/software/S0607) looks for and terminates two non-standard processes, one of which is an ICS application. (Citation: Anton Cherepanov)",T0881,relationship--b452a076-6d4e-49f5-95ac-16264ef05b1d,FALSE,,KillDisk,https://attack.mitre.org/software/S0607,,,,,,,,,,
system files,Mentioned,File system,File,Full: File,Open/Standard Technology,,Generic reference to operating system files targeted for deletion to render the system unbootable.,[KillDisk](https://attack.mitre.org/software/S0607) is able to delete system files to make the system unbootable and targets 35 different types of files for deletion. (Citation: Anton Cherepanov),T0809,relationship--b252a076-6d4e-49f5-95ac-16264ef05b1d,FALSE,,KillDisk,https://attack.mitre.org/software/S0607,,,,,,,,,,
35 different types of files,Mentioned,file system,File Type,No,Open/Standard Technology,,File types targeted by KillDisk to ensure comprehensive destruction of system data.,[KillDisk](https://attack.mitre.org/software/S0607) is able to delete system files to make the system unbootable and targets 35 different types of files for deletion. (Citation: Anton Cherepanov),T0884,relationship--07c315ff-40a9-4588-b01c-5dbd8e7957f6,FALSE,,KillDisk,https://attack.mitre.org/software/S0607,Dorin,,,,,,,,,
system logs,Mentioned,System logs,Log Files,No,Open/Standard Technology,,Generic operating system log files.,"[KillDisk](https://attack.mitre.org/software/S0607) erases the master boot record (MBR) and system logs, leaving the system unusable. (Citation: Booz Allen Hamilton)",T0829,relationship--04bf72de-75ba-4d95-ad24-f93ad835180c,FALSE,,KillDisk,https://attack.mitre.org/software/S0607,,,,,,,,,,
Windows Application Event Log,Mentioned,system logs,Event Log,No,Proprietary-Documented Technology,Evtx,Generic reference to the application event log on Windows.,"[KillDisk](https://attack.mitre.org/software/S0607) deletes application, security, setup, and system event logs from Windows systems. (Citation: Anton Cherepanov)",T0872,relationship--ab8e129c-5411-4784-9194-068fa915da23,FALSE,,KillDisk,https://attack.mitre.org/software/S0607,,,,,,,,,,
Windows Security Event Log,Mentioned,system logs,Event Log,No,Proprietary-Documented Technology,Evtx,Generic reference to the security event log on Windows.,"[KillDisk](https://attack.mitre.org/software/S0607) deletes application, security, setup, and system event logs from Windows systems. (Citation: Anton Cherepanov)",T0872,relationship--ab8e129c-5411-4784-9194-068fa915da23,FALSE,,KillDisk,https://attack.mitre.org/software/S0607,,,,,,,,,,
Windows Setup Event Log,Mentioned,system logs,Event Log,No,Proprietary-Documented Technology,Evtx,Generic reference to the setup event log on Windows.,"[KillDisk](https://attack.mitre.org/software/S0607) deletes application, security, setup, and system event logs from Windows systems. (Citation: Anton Cherepanov)",T0872,relationship--ab8e129c-5411-4784-9194-068fa915da23,FALSE,,KillDisk,https://attack.mitre.org/software/S0607,,,,,,,,,,
Windows System Event Log,Mentioned,system logs,Event Log,No,Proprietary-Documented Technology,Evtx,Generic reference to the system event log on Windows.,"[KillDisk](https://attack.mitre.org/software/S0607) deletes application, security, setup, and system event logs from Windows systems. (Citation: Anton Cherepanov)",T0872,relationship--ab8e129c-5411-4784-9194-068fa915da23,FALSE,,KillDisk,https://attack.mitre.org/software/S0607,,,,,,,,,,
LockerGoga,Described,system logs,Software/Tool,Full: Malware,Proprietary-Documented Technology,,LockerGoga is referenced as the malware involved in the infection and is linked to its MITRE ATT&CK entry (S0372),"While Norsk Hydro attempted to recover from a [LockerGoga](https://attack.mitre.org/software/S0372) infection, most of its 160 manufacturing locations switched to manual (non-IT driven) operations. Manual operations can result in a loss of productivity. (Citation: Kevin Beaumont)(Citation: Hydro)",T0828,relationship--46bc86e4-e20b-4778-80d2-8891039e6fb4,FALSE,,LockerGoga,https://attack.mitre.org/software/S0372,,,,,,,,,,
160 manufacturing locations,Described,facility records,Manufacturing Facility,No,Proprietary-Documented Technology,,"Locations impacted by LockerGoga, forced to operate manually.","While Norsk Hydro attempted to recover from a [LockerGoga](https://attack.mitre.org/software/S0372) infection, most of its 160 manufacturing locations switched to manual (non-IT driven) operations. Manual operations can result in a loss of productivity. (Citation: Kevin Beaumont)(Citation: Hydro)",T0884,relationship--420e8de5-fecb-4ff7-bbb7-1133ac4ab36c,FALSE,,LockerGoga,https://attack.mitre.org/software/S0372,Dorin,,,,,,,,,
LockerGoga,Described,Security logs / Threat intelligence,Malware,Full: Malware,Proprietary-Undocumented Technology,,Ransomware malware mentioned in the incident affecting Norsk Hydro's production systems.,Some of Norsk Hydro's production systems were impacted by a [LockerGoga](https://attack.mitre.org/software/S0372) infection. This resulted in a loss of view which forced the company to switch to manual operations. (Citation: Kevin Beaumont) (Citation: Hydro),T0829,relationship--7a55fc66-0d5c-4ef6-af28-d4a4bb84381d,FALSE,,LockerGoga,https://attack.mitre.org/software/S0372,,,,,,,,,,
production systems,Mentioned,device inventory,ICS Systems,No,Proprietary-Documented Technology,,Systems impacted by LockerGoga causing operational disruption.,Some of Norsk Hydro's production systems were impacted by a [LockerGoga](https://attack.mitre.org/software/S0372) infection. This resulted in a loss of view which forced the company to switch to manual operations. (Citation: Kevin Beaumont) (Citation: Hydro),T0884,relationship--22cfed5c-35bb-4098-bf7e-1423f2b99827,FALSE,,LockerGoga,https://attack.mitre.org/software/S0372,Dorin,,,,,,,,,
LockerGoga,Described,system logs,Software/Tool,Full: Malware,Open/Standard Technology,,Referenced with a MITRE ATT&CK link (S0372); indicates a malware infection impacting systems.,Some of Norsk Hydro's production systems were impacted by a [LockerGoga](https://attack.mitre.org/software/S0372) infection. This resulted in a loss of control which forced the company to switch to manual operations. (Citation: Kevin Beaumont) (Citation: Hydro),T0827,relationship--b5ab26e2-eb90-4f19-b35a-b8a0a5438961,FALSE,,LockerGoga,https://attack.mitre.org/software/S0372,,,,,,,,,,
Norsk Hydro production systems,Mentioned,ICS data,Industrial Control System,No,Proprietary-Undocumented Technology,,General reference to the impacted production systems with no detailed technical specifics.,Some of Norsk Hydro's production systems were impacted by a [LockerGoga](https://attack.mitre.org/software/S0372) infection. This resulted in a loss of control which forced the company to switch to manual operations. (Citation: Kevin Beaumont) (Citation: Hydro),T0827,relationship--b5ab26e2-eb90-4f19-b35a-b8a0a5438961,FALSE,,LockerGoga,https://attack.mitre.org/software/S0372,,,,,,,,,,
SMBv1-targeting MS17-010 vulnerability,Actionable-Atomic,vulnerability scanners,Vulnerability,Full: Vulnerability,Proprietary-Documented Technology,,Specifically targets SMBv1 and was exploited by NotPetya,"[NotPetya](https://attack.mitre.org/software/S0368) initially infected IT networks, but by means of an exploit (particularly the SMBv1-targeting MS17-010 vulnerability) spread to industrial networks. (Citation: Joe Slowik April 2019)",T0866,relationship--6603a100-d655-4e6b-8d38-73c11b89dde4,FALSE,,NotPetya,https://attack.mitre.org/software/S0368,Dorin update,,,,,,,,,
NotPetya,Described,system logs,Software/Tool,Full: Malware,Open/Standard Technology,,Referenced with a MITRE ATT&CK link (S0368),[NotPetya](https://attack.mitre.org/software/S0368) can move laterally through industrial networks by means of the SMB service. (Citation: Joe Slowik April 2019),T0867,relationship--6258c355-677c-452d-b1fc-27767232437b,FALSE,,NotPetya,https://attack.mitre.org/software/S0368,,,,,,,,,,
NotPetya,Described,system logs,Software/Tool,Full: Malware,Proprietary-Undocumented Technology,,Malware referenced via MITRE ATT&CK link (S0368),"[NotPetya](https://attack.mitre.org/software/S0368) initially infected IT networks, but by means of an exploit (particularly the SMBv1-targeting MS17-010 vulnerability) spread to industrial networks. (Citation: Joe Slowik April 2019)",T0866,relationship--6603a100-d655-4e6b-8d38-73c11b89dde4,FALSE,,NotPetya,https://attack.mitre.org/software/S0368,,,,,,,,,,
IT networks,Mentioned,network logs,Network Segment,No,Open/Standard Technology,,Initial infection targets of NotPetya before lateral spread.,"[NotPetya](https://attack.mitre.org/software/S0368) initially infected IT networks, but by means of an exploit (particularly the SMBv1-targeting MS17-010 vulnerability) spread to industrial networks. (Citation: Joe Slowik April 2019)",T0866,relationship--6603a100-d655-4e6b-8d38-73c11b89dde4,FALSE,,NotPetya,https://attack.mitre.org/software/S0368,Dorin,,,,,,,,,
NotPetya,Described,Threat Intelligence Feeds,Software/Tool,Full: Malware,Open/Standard Technology,,NotPetya is referenced with a MITRE ATT&CK link (S0368) in the procedure description.,"[NotPetya](https://attack.mitre.org/software/S0368) disrupted manufacturing facilities supplying vaccines, resulting in a halt of production and the inability to meet demand for specific vaccines. (Citation: David Voreacos, Katherine Chinglinsky, Riley Griffin December 2019)",T0828,relationship--7258c355-677c-452d-b1fc-27767232437b,FALSE,,NotPetya,https://attack.mitre.org/software/S0368,,,,,,,,,,
manufacturing facilities,Mentioned,facility records,Manufacturing Facility,No,Proprietary-Documented Technology,,Facilities impacted by NotPetya causing production halt.,"[NotPetya](https://attack.mitre.org/software/S0368) disrupted manufacturing facilities supplying vaccines, resulting in a halt of production and the inability to meet demand for specific vaccines. (Citation: David Voreacos, Katherine Chinglinsky, Riley Griffin December 2019)",T0828,relationship--7258c355-677c-452d-b1fc-27767232437b,FALSE,,NotPetya,https://attack.mitre.org/software/S0368,Dorin,,,,,,,,,
SMB service,Mentioned,network logs,Network Service,No,Open/Standard Technology,Wireshark,Used for lateral movement within industrial networks,[NotPetya](https://attack.mitre.org/software/S0368) can move laterally through industrial networks by means of the SMB service. (Citation: Joe Slowik April 2019),T0867,relationship--6258c355-677c-452d-b1fc-27767232437b,FALSE,,NotPetya,https://attack.mitre.org/software/S0368,,,,,,,,,,
industrial networks,Mentioned,network logs,Network Segment,No,Open/Standard Technology,,Network segments traversed by NotPetya using SMB lateral movement.,[NotPetya](https://attack.mitre.org/software/S0368) can move laterally through industrial networks by means of the SMB service. (Citation: Joe Slowik April 2019),T0867,relationship--6258c355-677c-452d-b1fc-27767232437b,FALSE,,NotPetya,https://attack.mitre.org/software/S0368,Dorin,,,,,,,,,
Data Block,Mentioned,ICS data,PLC Program Organization Unit,No,Open/Standard Technology,,Generic POU element in PLC programming.,"[PLC-Blaster](https://attack.mitre.org/software/S1006) copies itself to various Program Organization Units (POU) on the target device. The POUs include the Data Block, Function, and Function Block. (Citation: Spenneberg, Ralf, Maik Brggemann, and Hendrik Schwartke March 2016)",T0889,relationship--9515f24c-1c33-4197-b9c9-b9992bc696ca,FALSE,,PLC-Blaster,https://attack.mitre.org/software/S1006,,,,,,,,,,
executable Program Organization Units,Mentioned,ICS data,PLC Code,No,Open/Standard Technology,,Represents the PLC code (commonly defined by the IEC 61131-3 standard) that is loaded via the API.,"[PLC-Blaster](https://attack.mitre.org/software/S1006) utilizes the PLC communication and management API to load executable Program Organization Units. (Citation: Spenneberg, Ralf, Maik Brggemann, and Hendrik Schwartke March 2016)",T0843,relationship--31897c41-1d47-4a34-b531-21c3f74651a8,FALSE,,PLC-Blaster,https://attack.mitre.org/software/S1006,,,,,,,,,,
Function,Mentioned,ICS data,PLC Program Organization Unit,No,Open/Standard Technology,,Generic POU element in PLC programming.,"[PLC-Blaster](https://attack.mitre.org/software/S1006) copies itself to various Program Organization Units (POU) on the target device. The POUs include the Data Block, Function, and Function Block. (Citation: Spenneberg, Ralf, Maik Brggemann, and Hendrik Schwartke March 2016)",T0889,relationship--9515f24c-1c33-4197-b9c9-b9992bc696ca,FALSE,,PLC-Blaster,https://attack.mitre.org/software/S1006,,,,,,,,,,
Function Block,Mentioned,ICS data,PLC Program Organization Unit,No,Open/Standard Technology,,Generic POU element in PLC programming.,"[PLC-Blaster](https://attack.mitre.org/software/S1006) copies itself to various Program Organization Units (POU) on the target device. The POUs include the Data Block, Function, and Function Block. (Citation: Spenneberg, Ralf, Maik Brggemann, and Hendrik Schwartke March 2016)",T0889,relationship--9515f24c-1c33-4197-b9c9-b9992bc696ca,FALSE,,PLC-Blaster,https://attack.mitre.org/software/S1006,,,,,,,,,,
OB9999,Actionable-Atomic,PLC program memory,PLC Organization Block,No,Open/Standard Technology,,Specifically identified organization block in the PLC that contains the PLC-Blaster code.,"[PLC-Blaster](https://attack.mitre.org/software/S1006)'s code is stored in OB9999. The original code on the target is untouched. The OB is automatically detected by the PLC and executed. (Citation: Spenneberg, Ralf, Maik Brggemann, and Hendrik Schwartke March 2016)",T0821,relationship--20f66fab-7a08-4707-ac79-92dac5acd11d,FALSE,,PLC-Blaster,https://attack.mitre.org/software/S1006,,,,,,,,,,
PLC,Mentioned,ICS device logs,PLC,No,Open/Standard Technology,,Generic reference to the programmable logic controller that automatically detects and executes the OB.,"[PLC-Blaster](https://attack.mitre.org/software/S1006)'s code is stored in OB9999. The original code on the target is untouched. The OB is automatically detected by the PLC and executed. (Citation: Spenneberg, Ralf, Maik Brggemann, and Hendrik Schwartke March 2016)",T0821,relationship--20f66fab-7a08-4707-ac79-92dac5acd11d,FALSE,,PLC-Blaster,https://attack.mitre.org/software/S1006,,,,,,,,,,
PLC,Mentioned,ICS data,PLC,No,Proprietary-Documented Technology,,"The PLC is referenced as the target device where execution is halted, but no specific manufacturer or model is provided.","The execution on the PLC can be stopped by violating the cycle time limit. The [PLC-Blaster](https://attack.mitre.org/software/S1006) implements an endless loop triggering an error condition within the PLC with the impact of a DoS. (Citation: Spenneberg, Ralf, Maik Brggemann, and Hendrik Schwartke March 2016)",T0814,relationship--535c5160-17e0-44eb-9f4b-1a8e216b56a2,FALSE,,PLC-Blaster,https://attack.mitre.org/software/S1006,,,,,,,,,,
PLC communication and management API,Mentioned,network logs,API,No,Proprietary-Documented Technology,,"A generic reference to the API used for PLC communications and management, typically provided by vendor documentation.","[PLC-Blaster](https://attack.mitre.org/software/S1006) utilizes the PLC communication and management API to load executable Program Organization Units. (Citation: Spenneberg, Ralf, Maik Brggemann, and Hendrik Schwartke March 2016)",T0843,relationship--31897c41-1d47-4a34-b531-21c3f74651a8,FALSE,,PLC-Blaster,https://attack.mitre.org/software/S1006,,,,,,,,,,
PLC-Blaster,Mentioned,PLC program memory,Software/Tool,Full: Tool,Open/Standard Technology,,Referenced via MITRE ATT&CK; its code is stored in OB9999.,"[PLC-Blaster](https://attack.mitre.org/software/S1006)'s code is stored in OB9999. The original code on the target is untouched. The OB is automatically detected by the PLC and executed. (Citation: Spenneberg, Ralf, Maik Brggemann, and Hendrik Schwartke March 2016)",T0821,relationship--20f66fab-7a08-4707-ac79-92dac5acd11d,FALSE,,PLC-Blaster,https://attack.mitre.org/software/S1006,,,,,,,,,,
PLC-Blaster,Described,System logs,Software/Tool,Full: Tool,Proprietary-Documented Technology,,Attack tool referenced via MITRE ATT&CK that leverages PLC system function blocks.,"[PLC-Blaster](https://attack.mitre.org/software/S1006) uses the system function blocks TCON and TDISCON to initiate and destroy TCP connections to arbitrary systems. Buffers may be sent and received on these connections with TRCV und TSEND system function blocks. (Citation: Spenneberg, Ralf, Maik Brggemann, and Hendrik Schwartke March 2016)",T0834,relationship--21041206-da58-45c7-adb0-db07caebdcb6,FALSE,,PLC-Blaster,https://attack.mitre.org/software/S1006,,,,,,,,,,
PLC-Blaster,Described,system logs,Software/Tool,Full: Tool,Proprietary-Documented Technology,,Referenced via MITRE ATT&CK; it is a specific tool used to load executable code onto PLCs.,"[PLC-Blaster](https://attack.mitre.org/software/S1006) utilizes the PLC communication and management API to load executable Program Organization Units. (Citation: Spenneberg, Ralf, Maik Brggemann, and Hendrik Schwartke March 2016)",T0843,relationship--31897c41-1d47-4a34-b531-21c3f74651a8,FALSE,,PLC-Blaster,https://attack.mitre.org/software/S1006,,,,,,,,,,
PLC-Blaster,Described,Network logs,Software/Tool,Full: Tool,Proprietary-Documented Technology,,"PLC-Blaster is noted with a MITRE ATT&CK reference (S1006) and described as implementing an endless loop that triggers an error condition in the PLC, leading to a DoS.","The execution on the PLC can be stopped by violating the cycle time limit. The [PLC-Blaster](https://attack.mitre.org/software/S1006) implements an endless loop triggering an error condition within the PLC with the impact of a DoS. (Citation: Spenneberg, Ralf, Maik Brggemann, and Hendrik Schwartke March 2016)",T0814,relationship--535c5160-17e0-44eb-9f4b-1a8e216b56a2,FALSE,,PLC-Blaster,https://attack.mitre.org/software/S1006,,,,,,,,,,
cycle time limit,Described,device configuration,PLC Runtime Constraint,No,Proprietary-Documented Technology,,"Timing constraint that, when violated, causes the PLC to halt execution.","The execution on the PLC can be stopped by violating the cycle time limit. The [PLC-Blaster](https://attack.mitre.org/software/S1006) implements an endless loop triggering an error condition within the PLC with the impact of a DoS. (Citation: Spenneberg, Ralf, Maik Brggemann, and Hendrik Schwartke March 2016)",T0814,relationship--535c5160-17e0-44eb-9f4b-1a8e216b56a2,FALSE,,PLC-Blaster,https://attack.mitre.org/software/S1006,Dorin,,,,,,,,,
PLC-Blaster,Described,system logs,Software/Tool,Full: Tool,Open/Standard Technology,,"PLC-Blaster is the malware tool referenced with a MITRE ATT&CK link, used to scan for target devices.","[PLC-Blaster](https://attack.mitre.org/software/S1006) scans the network to find other Siemens S7 PLC devices to infect. It locates these devices by checking for a service listening on TCP port 102. (Citation: Spenneberg, Ralf, Maik Brggemann, and Hendrik Schwartke March 2016)",T0846,relationship--5c0bdf4c-233f-42cd-8900-2a5cc8c9387c,FALSE,,PLC-Blaster,https://attack.mitre.org/software/S1006,,,,,,,,,,
PLC-Blaster,Described,system logs,Software/Tool,Full: Tool,Open/Standard Technology,,"This software tool, referenced via a MITRE ATT&CK link, is noted for its ability to manipulate PLC outputs.","[PLC-Blaster](https://attack.mitre.org/software/S1006) may manipulate any outputs of the PLC. Using the POU POKE any value within the process image may be modified. (Citation: Spenneberg, Ralf, Maik Brggemann, and Hendrik Schwartke March 2016)",T0835,relationship--6fa3aee4-2a29-4c0f-9e61-1f7df5eccc00,FALSE,,PLC-Blaster,https://attack.mitre.org/software/S1006,,,,,,,,,,
PLC-Blaster,Described,ICS data,Software/Tool,Full: Tool,Open/Standard Technology,,Referenced via MITRE ATT&CK; a known malware tool that replicates itself to PLC Program Organization Units.,"[PLC-Blaster](https://attack.mitre.org/software/S1006) copies itself to various Program Organization Units (POU) on the target device. The POUs include the Data Block, Function, and Function Block. (Citation: Spenneberg, Ralf, Maik Brggemann, and Hendrik Schwartke March 2016)",T0889,relationship--9515f24c-1c33-4197-b9c9-b9992bc696ca,FALSE,,PLC-Blaster,https://attack.mitre.org/software/S1006,,,,,,,,,,
Program Organization Units (POU),Actionable-Atomic,device memory,PLC Code Component,No,Proprietary-Documented Technology,,Code areas targeted by PLC-Blaster for replication and persistence.,"[PLC-Blaster](https://attack.mitre.org/software/S1006) copies itself to various Program Organization Units (POU) on the target device. The POUs include the Data Block, Function, and Function Block. (Citation: Spenneberg, Ralf, Maik Brggemann, and Hendrik Schwartke March 2016)",T0889,relationship--9515f24c-1c33-4197-b9c9-b9992bc696ca,FALSE,,PLC-Blaster,https://attack.mitre.org/software/S1006,Dorin,,,,,,,,,
PLC-Blaster,Described,ICS system logs,Malware,Full: Malware,Open/Standard Technology,,Referenced with a MITRE ATT&CK link (S1006); it stops the target user program to allow code transfer.,"[PLC-Blaster](https://attack.mitre.org/software/S1006) stops the execution of the user program on the target to enable the transfer of its own code. The worm then copies itself to the target and subsequently starts the target PLC again. (Citation: Spenneberg, Ralf, Maik Brggemann, and Hendrik Schwartke March 2016)",T0858,relationship--a4c81fe6-1ad9-4bba-a415-a3c099eaa2be,FALSE,,PLC-Blaster,https://attack.mitre.org/software/S1006,,,,,,,,,,
POU POKE,Actionable-Atomic,ICS logs,ICS Command,No,Open/Standard Technology,,A PLC command used to modify any value within the process image.,"[PLC-Blaster](https://attack.mitre.org/software/S1006) may manipulate any outputs of the PLC. Using the POU POKE any value within the process image may be modified. (Citation: Spenneberg, Ralf, Maik Brggemann, and Hendrik Schwartke March 2016)",T0835,relationship--6fa3aee4-2a29-4c0f-9e61-1f7df5eccc00,FALSE,,PLC-Blaster,https://attack.mitre.org/software/S1006,,,,,,,,,,
Siemens S7 PLC device,Described,ICS data,PLC,No,Proprietary-Documented Technology,,Refers to industrial control system devices manufactured by Siemens running the S7 protocol.,"[PLC-Blaster](https://attack.mitre.org/software/S1006) scans the network to find other Siemens S7 PLC devices to infect. It locates these devices by checking for a service listening on TCP port 102. (Citation: Spenneberg, Ralf, Maik Brggemann, and Hendrik Schwartke March 2016)",T0846,relationship--5c0bdf4c-233f-42cd-8900-2a5cc8c9387c,FALSE,,PLC-Blaster,https://attack.mitre.org/software/S1006,,,,,,,,,,
target PLC,Mentioned,ICS data,PLC,No,Open/Standard Technology,,The programmable logic controller that is targeted by the attack and restarted after the worm copies itself.,"[PLC-Blaster](https://attack.mitre.org/software/S1006) stops the execution of the user program on the target to enable the transfer of its own code. The worm then copies itself to the target and subsequently starts the target PLC again. (Citation: Spenneberg, Ralf, Maik Brggemann, and Hendrik Schwartke March 2016)",T0858,relationship--a4c81fe6-1ad9-4bba-a415-a3c099eaa2be,FALSE,,PLC-Blaster,https://attack.mitre.org/software/S1006,,,,,,,,,,
TCON,Described,ICS data (PLC logs),ICS Command,No,Proprietary-Documented Technology,,System function block used to initiate TCP connections.,"[PLC-Blaster](https://attack.mitre.org/software/S1006) uses the system function blocks TCON and TDISCON to initiate and destroy TCP connections to arbitrary systems. Buffers may be sent and received on these connections with TRCV und TSEND system function blocks. (Citation: Spenneberg, Ralf, Maik Brggemann, and Hendrik Schwartke March 2016)",T0834,relationship--21041206-da58-45c7-adb0-db07caebdcb6,FALSE,,PLC-Blaster,https://attack.mitre.org/software/S1006,,,,,,,,,,
TCP connection,Mentioned,Network logs,Network Entity,Full: Network Traffic,Open/Standard Technology,"Zeek, Wireshark",Generic TCP connection created/destroyed by the executed function blocks.,"[PLC-Blaster](https://attack.mitre.org/software/S1006) uses the system function blocks TCON and TDISCON to initiate and destroy TCP connections to arbitrary systems. Buffers may be sent and received on these connections with TRCV und TSEND system function blocks. (Citation: Spenneberg, Ralf, Maik Brggemann, and Hendrik Schwartke March 2016)",T0834,relationship--21041206-da58-45c7-adb0-db07caebdcb6,FALSE,,PLC-Blaster,https://attack.mitre.org/software/S1006,,,,,,,,,,
TCP port 102,Actionable-Atomic,network logs,Network Service/Port,No,Open/Standard Technology,,"The procedure checks for a service actively listening on TCP port 102, a well-known port used by Siemens S7 PLC communication.","[PLC-Blaster](https://attack.mitre.org/software/S1006) scans the network to find other Siemens S7 PLC devices to infect. It locates these devices by checking for a service listening on TCP port 102. (Citation: Spenneberg, Ralf, Maik Brggemann, and Hendrik Schwartke March 2016)",T0846,relationship--5c0bdf4c-233f-42cd-8900-2a5cc8c9387c,FALSE,,PLC-Blaster,https://attack.mitre.org/software/S1006,,,,,,,,,,
TDISCON,Described,ICS data (PLC logs),ICS Command,No,Proprietary-Documented Technology,,System function block used to destroy TCP connections.,"[PLC-Blaster](https://attack.mitre.org/software/S1006) uses the system function blocks TCON and TDISCON to initiate and destroy TCP connections to arbitrary systems. Buffers may be sent and received on these connections with TRCV und TSEND system function blocks. (Citation: Spenneberg, Ralf, Maik Brggemann, and Hendrik Schwartke March 2016)",T0834,relationship--21041206-da58-45c7-adb0-db07caebdcb6,FALSE,,PLC-Blaster,https://attack.mitre.org/software/S1006,,,,,,,,,,
TRCV,Actionable-Atomic,ICS data (PLC logs),ICS Command,No,Proprietary-Documented Technology,,System function block used for receiving buffers over established TCP connections.,"[PLC-Blaster](https://attack.mitre.org/software/S1006) uses the system function blocks TCON and TDISCON to initiate and destroy TCP connections to arbitrary systems. Buffers may be sent and received on these connections with TRCV und TSEND system function blocks. (Citation: Spenneberg, Ralf, Maik Brggemann, and Hendrik Schwartke March 2016)",T0834,relationship--21041206-da58-45c7-adb0-db07caebdcb6,FALSE,,PLC-Blaster,https://attack.mitre.org/software/S1006,,,,,,,,,,
